0,-0.029,-0.119,-1.008
0,-0.037,-0.131,-0.986
0,-0.035,-0.116,-0.997
0,-0.035,-0.116,-1.003
0,-0.038,-0.131,-0.979
0,-0.024,-0.129,-1.012
0,-0.036,-0.118,-1.031
0,-0.039,-0.129,-0.987
0,-0.034,-0.117,-1.003
0,-0.039,-0.120,-1.006
0,-0.029,-0.125,-1.001
0,-0.034,-0.124,-1.005
0,-0.038,-0.122,-0.996
0,-0.042,-0.125,-1.005
0,-0.046,-0.120,-0.998
0,-0.032,-0.116,-1.010
0,-0.034,-0.125,-0.984
0,-0.033,-0.116,-1.027
0,-0.037,-0.121,-0.993
0,-0.037,-0.121,-1.006
0,-0.038,-0.120,-0.999
0,-0.035,-0.121,-0.999
0,-0.040,-0.115,-1.008
0,-0.024,-0.130,-0.989
0,-0.047,-0.123,-1.008
0,-0.024,-0.117,-1.010
0,-0.044,-0.117,-0.999
0,-0.024,-0.132,-1.000
0,-0.035,-0.129,-0.998
0,-0.029,-0.135,-1.003
0,-0.040,-0.132,-0.992
0,-0.032,-0.132,-1.005
0,-0.031,-0.131,-1.003
0,-0.031,-0.130,-1.024
0,-0.026,-0.141,-0.976
0,-0.033,-0.142,-0.976
0,-0.021,-0.140,-1.011
0,-0.033,-0.137,-0.993
0,-0.022,-0.135,-1.008
0,-0.029,-0.131,-0.994
0,-0.032,-0.137,-0.999
0,-0.034,-0.129,-1.007
0,-0.034,-0.141,-0.997
0,-0.037,-0.137,-1.004
0,-0.029,-0.140,-1.001
0,-0.031,-0.144,-0.988
0,-0.030,-0.152,-0.976
0,-0.036,-0.146,-1.029
0,-0.032,-0.151,-0.996
0,-0.035,-0.154,-0.982
0,-0.034,-0.150,-1.007
0,-0.029,-0.158,-0.984
0,-0.035,-0.149,-1.005
0,-0.039,-0.153,-0.981
0,-0.055,-0.144,-1.000
0,-0.061,-0.146,-0.990
0,-0.077,-0.122,-0.997
0,-0.082,-0.144,-1.026
0,-0.103,-0.134,-0.958
0,-0.121,-0.129,-0.975
0,-0.146,-0.103,-1.008
0,-0.140,-0.109,-0.999
0,-0.157,-0.108,-0.981
0,-0.199,-0.110,-0.993
0,-0.241,-0.128,-0.928
0,-0.229,-0.098,-0.989
0,-0.254,-0.105,-0.943
0,-0.276,-0.130,-1.003
0,-0.307,-0.094,-1.005
0,-0.292,-0.127,-0.975
0,-0.355,-0.141,-0.935
0,-0.386,-0.134,-0.893
0,-0.433,-0.140,-0.803
0,-0.440,-0.104,-0.946
0,-0.431,-0.068,-0.820
0,-0.522,-0.027,-0.994
0,-0.486,-0.087,-0.949
0,-0.485,-0.113,-0.810
0,-0.503,-0.128,-0.797
0,-0.556,-0.086,-0.820
0,-0.570,-0.094,-0.860
0,-0.591,-0.105,-0.809
0,-0.576,-0.112,-0.784
0,-0.604,-0.077,-0.784
0,-0.637,-0.089,-0.797
0,-0.654,-0.089,-0.746
0,-0.699,-0.080,-0.787
0,-0.667,-0.055,-0.753
0,-0.687,-0.056,-0.734
0,-0.690,-0.065,-0.742
0,-0.687,-0.082,-0.750
0,-0.718,-0.063,-0.736
